coin, price, percentChange1h, percentChange24h, percentChange7d
Huobi Token, 1.8051954261, -0.38, -3.33, 9.32
RChain, 0.2329411053, -0.61, -6.68, -17.29
Bancor, 1.4875222466, -0.11, -0.99, 7.14
Dropil, 0.0038350969, -0.16, -4.14, 5.42
Dentacoin, 0.0002564108, -2.32, 2.46, -5.52
MonaCoin, 1.3283125657, -0.01, 0.03, 11.51
FunFair, 0.0165278535, -0.79, 9.14, 1.99
Horizen, 16.8631628277, -0.45, 0.73, 4.59
GXChain, 1.3201305296, -0.23, -1.79, 8.23
Ark, 0.7469742116, 1.4, 4.27, 9.69
Nebulas, 1.7262075491, 0.32, -1.29, 30.83
QASH, 0.2234956127, -0.1, -1.32, 4.1
Decentraland, 0.0744398402, -0.52, -0.39, 4.4
DigixDAO, 38.3509350062, -0.56, -0.35, 8.42
TenX, 0.6714634807, -0.41, -0.32, 3.62
Aurora, 0.0212059414, -2.39, 0.23, -11.68
CyberMiles, 0.1015307965, -1.51, -0.43, 14.82
Crypto.com, 4.5229496259, -0.73, 0.95, 5.14
Nxt, 0.0695608981, 1.71, 1.83, 1.15
Loopring, 0.1133854748, -2.08, 11.88, 22.83
Mixin, 146.170353419, -0.19, 1.34, 11.01
Power Ledger, 0.1648499935, -0.26, 0.21, 2.36
Theta Token, 0.0921208293, -4.0, -2.53, 9.0
WAX, 0.0670023237, -0.51, -0.55, 1.64
Loom Network, 0.1056462479, -0.43, -2.15, 29.23
PIVX, 1.0550428449, 0.33, -2.98, 15.61
Gas, 5.8602384562, -0.6, -1.46, 17.55
Dragonchain, 0.2470215135, -0.11, 2.3, 10.26
ZCoin, 10.049228642, -0.25, -0.69, 12.34
Elastos, 7.4204457371, -0.57, 3.99, 11.07
Cortex, 0.3817393709, 2.97, 22.07, 31.55
